 ,Mean1,Mean2,Mean3,Mean4
556,2837.500,3963.350,3985.714,3689.409
557,2836.000,3946.150,3992.143,3701.909
558,2825.062,3929.800,3988.095,3687.045
559,2812.896,3952.350,3994.405,3700.523
560,2845.146,3945.400,3994.214,3675.818
561,2835.833,3941.800,3989.024,3705.409
562,2815.396,3929.650,4023.738,3706.659
563,2822.458,3939.000,4003.833,3693.455
564,2813.375,3936.150,3992.524,3699.295
565,2820.000,3970.300,4013.976,3697.205
566,2818.604,3952.250,3989.310,3673.591
567,2824.625,3910.500,4009.119,3682.818
568,2841.729,3956.900,3989.833,3685.386
569,2837.333,3969.750,3973.238,3696.023
570,2825.354,3968.200,4007.000,3672.386
571,2827.792,3947.350,3972.690,3667.477
572,2814.562,3942.150,4012.048,3702.841
573,2819.875,3935.050,3989.428,3692.795
574,2839.354,3943.650,3992.905,3689.523
575,2836.833,3909.650,4015.619,3697.182
576,2827.375,3953.350,3991.024,3684.955
577,2818.354,3948.200,4002.619,3693.545
578,2822.562,3924.300,3987.714,3672.523
579,2832.646,3945.350,3981.214,3670.000
580,2831.146,3934.300,3989.786,3698.705
581,2829.021,3934.950,3992.619,3688.591
582,2820.125,3952.550,3982.143,3689.341
583,2812.562,3954.600,3990.024,3686.818
584,2815.625,3953.500,4013.286,3711.636
585,2819.021,3963.300,3990.905,3717.955
586,2815.354,3956.800,3994.119,3677.795
587,2807.146,3947.750,4005.143,3682.545
588,2820.917,3967.150,3998.500,3699.977
589,2829.250,3933.350,3991.714,3687.432
590,2812.188,3927.800,3984.119,3682.909
591,2809.312,3925.850,4002.572,3690.636
592,2821.104,3911.250,3981.690,3705.182
593,2803.729,3950.100,3988.690,3709.614
594,2828.062,3936.000,3972.310,3698.659
595,2833.688,3918.450,4005.500,3697.386
596,2810.250,3904.750,4012.595,3698.614
597,2804.333,3945.700,3999.143,3725.000
598,2817.667,3952.750,4004.381,3691.455
599,2814.229,3939.550,4012.976,3702.727
600,2816.479,3912.250,3996.810,3696.977
601,2813.625,3913.600,4010.572,3690.364
