 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
156,6434.389,5618.516,5481.757,6742.135,5449.524,5719.562,5464.064,6752.769,4700.750,4896.231
157,6452.556,5603.709,5484.071,6759.892,5509.476,5801.500,5594.774,6851.923,4718.500,4903.654
158,6412.528,5609.452,5493.743,6779.973,5526.762,5864.125,5685.387,6873.539,4746.844,4884.308
159,6451.611,5652.516,5523.686,6791.541,5643.762,5897.875,5784.226,6918.731,4720.656,4916.385
160,6402.028,5591.677,5516.257,6782.919,5659.714,5930.625,5943.226,6944.039,4786.312,4894.154
161,6407.333,5651.774,5538.700,6752.081,5705.857,5990.125,6056.677,6988.500,4789.562,4909.961
162,6424.833,5617.064,5535.471,6687.271,5773.810,6003.688,6184.355,7006.500,4819.531,4928.885
163,6457.111,5594.097,5550.657,6681.648,5800.190,6035.438,6318.677,7052.961,4824.375,4888.577
164,6463.306,5607.129,5548.814,6790.946,5806.429,6106.812,6441.355,7098.731,4856.375,4894.769
165,6436.111,5600.161,5534.300,6783.243,5845.619,6084.250,6598.709,7101.731,4876.938,4886.885
166,6422.417,5578.161,5538.014,6755.000,5908.333,6131.000,6734.807,7157.808,4895.656,4888.539
167,6396.361,5588.291,5538.286,6787.595,5896.619,6130.688,6840.161,7166.039,4955.781,4925.423
168,6421.000,5594.774,5554.143,6752.973,5940.190,6188.250,6897.129,7193.654,4976.250,4925.115
169,6430.472,5590.936,5549.500,6760.324,5939.476,6171.750,7031.064,7244.615,4996.281,4928.615
170,6441.083,5624.097,5535.143,6762.784,5973.333,6221.125,7225.161,7198.346,5053.781,4886.308
171,6404.056,5599.387,5529.900,6734.838,5959.810,6207.812,7268.645,7256.539,5097.156,4917.808
172,6415.333,5583.677,5552.800,6735.000,5964.571,6174.125,7376.645,7283.846,5102.531,4905.539
173,6442.167,5578.226,5559.543,6767.811,5992.381,6255.125,7471.839,7278.077,5126.844,4903.269
174,6422.028,5563.161,5543.286,6779.622,6003.476,6207.062,7572.097,7264.846,5191.062,4930.961
175,6410.583,5596.452,5546.043,6770.352,5981.714,6249.500,7692.677,7327.808,5214.344,4906.654
176,6417.222,5613.839,5559.872,6784.919,6059.857,6184.562,7779.516,7334.039,5283.531,4896.692
