 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
154,6712.722,7083.154,6195.591,6621.750,5881.088,4135.000,6790.500,7045.450,5996.673,4444.143,5067.727,7881.750
155,6777.500,7056.231,6148.955,6692.583,5901.147,4081.125,6864.000,7037.183,6000.461,4442.714,5061.364,7982.500
156,6794.250,7082.654,6200.795,6674.250,5936.324,4121.875,6891.500,7056.300,6024.173,4447.952,5028.364,7946.417
157,6859.139,7088.231,6239.364,6664.500,5965.265,4144.750,6891.333,7033.517,6005.423,4395.476,5090.273,8102.167
158,6855.361,7027.231,6228.659,6635.833,5929.529,4128.375,6961.667,7064.100,6006.423,4452.905,5045.545,8209.333
159,6889.889,7067.923,6147.841,6630.250,6012.971,4099.875,7029.167,7078.200,6056.481,4403.333,5114.273,8229.083
160,6954.917,7082.961,6226.114,6632.083,5997.912,4050.875,7064.833,7082.417,6051.404,4407.238,5108.182,8387.833
161,6971.111,7130.000,6144.841,6666.667,5996.176,4077.125,7221.000,7100.700,6034.231,4443.429,5052.545,8380.250
162,6983.667,7061.346,6197.341,6676.250,5999.706,4138.750,7193.667,7123.733,6050.942,4446.905,5073.455,8441.583
163,7009.361,7087.692,6177.364,6679.583,6023.559,4161.000,7214.833,7145.700,6038.461,4450.048,5102.182,8578.250
164,7074.306,7053.961,6216.568,6598.583,6000.706,4167.000,7279.333,7184.267,6047.115,4408.333,5090.455,8543.750
165,7083.444,7047.577,6197.227,6694.750,6057.529,4063.750,7231.667,7205.867,6085.346,4437.619,5058.000,8575.750
166,7117.361,7043.115,6210.432,6717.833,6018.206,4081.250,7326.000,7238.467,6079.096,4412.619,5067.727,8744.417
167,7082.000,7065.769,6224.159,6687.500,6015.088,4131.625,7431.500,7232.667,6080.211,4416.476,5054.273,8843.583
168,7137.889,7077.385,6192.955,6618.167,6037.029,4117.750,7397.833,7227.417,6116.231,4411.714,5092.545,8825.250
169,7188.944,7079.885,6177.273,6677.250,6038.441,4133.625,7500.500,7272.833,6065.461,4423.095,5084.636,8888.333
170,7181.000,7039.000,6254.500,6709.583,6056.559,4112.500,7519.167,7259.700,6075.154,4419.857,5096.455,8895.667
171,7213.611,7068.731,6188.591,6677.000,6051.500,4137.375,7631.333,7254.333,6094.096,4419.429,5120.182,8898.500
172,7253.278,7065.846,6173.977,6667.333,6041.059,4206.250,7573.667,7292.267,6072.096,4450.000,5048.909,8952.417
173,7281.444,7070.769,6205.386,6719.750,6041.353,4161.375,7580.333,7289.950,6105.981,4436.333,5020.455,9000.583
