 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
179,6490.458,5105.923,6565.271,6723.972,5820.409,5161.709,6773.464,5561.062,5017.314,5204.905
180,6470.360,5134.577,6556.541,6716.931,5820.568,5165.097,6789.571,5567.854,5011.137,5217.262
181,6471.004,5106.000,6556.703,6709.069,5796.114,5196.193,6777.143,5617.958,5009.569,5202.310
182,6468.008,5129.808,6549.433,6733.514,5807.023,5176.968,6807.143,5578.875,5006.726,5226.810
183,6455.941,5078.231,6576.243,6744.639,5833.000,5162.516,6774.750,5580.312,5005.667,5228.357
184,6471.381,5110.461,6551.000,6719.500,5817.773,5147.936,6789.321,5587.375,5024.000,5218.167
185,6475.737,5085.115,6570.757,6706.167,5797.659,5176.516,6762.214,5579.021,4994.882,5220.381
186,6463.665,5108.654,6592.973,6702.319,5818.409,5157.452,6778.071,5586.062,4989.137,5211.738
187,6467.805,5075.154,6555.946,6723.514,5784.773,5145.452,6758.821,5564.458,5002.274,5208.619
188,6467.992,5111.308,6563.811,6707.472,5814.136,5168.161,6781.000,5564.188,5003.255,5223.310
189,6466.348,5108.192,6588.648,6683.819,5811.023,5163.677,6749.179,5591.729,4991.824,5218.405
190,6477.191,5138.769,6554.541,6686.792,5803.727,5125.484,6743.714,5569.000,5033.196,5251.619
191,6467.335,5126.461,6589.054,6697.931,5777.205,5144.000,6710.964,5576.958,5009.333,5236.952
192,6465.017,5081.308,6559.324,6682.361,5807.818,5126.161,6755.071,5554.062,5027.412,5184.310
193,6460.055,5138.961,6537.567,6670.847,5806.000,5138.709,6704.143,5574.396,5019.549,5216.595
194,6463.898,5115.769,6564.081,6680.931,5818.432,5149.871,6673.786,5560.708,4975.569,5207.881
195,6444.784,5109.769,6571.433,6696.542,5803.932,5124.355,6699.286,5566.333,4980.333,5197.405
196,6454.106,5106.885,6565.352,6685.028,5803.455,5133.387,6658.893,5558.146,4992.412,5203.524
197,6461.648,5115.461,6541.811,6697.875,5784.318,5146.193,6663.286,5579.271,4971.216,5209.405
198,6451.856,5097.039,6579.352,6670.681,5799.795,5129.936,6655.286,5541.708,4987.137,5215.595
199,6446.644,5106.000,6582.973,6681.611,5821.977,5112.355,6646.464,5564.896,4962.255,5208.762
200,6459.072,5097.692,6535.865,6683.458,5770.614,5134.709,6665.929,5559.833,4943.784,5193.952
201,6459.657,5088.346,6520.784,6687.403,5794.386,5128.064,6631.821,5572.333,4971.784,5227.024
202,6436.602,5044.039,6518.865,6659.417,5805.295,5097.032,6586.143,5560.938,4937.921,5216.595
203,6428.424,5058.000,6526.973,6651.250,5796.364,5092.839,6559.893,5532.500,4945.882,5208.524
204,6417.322,5086.846,6529.811,6662.847,5777.636,5136.548,6527.714,5557.292,4932.098,5206.976
205,6447.102,5054.461,6552.622,6665.167,5748.182,5088.968,6514.464,5561.021,4933.824,5199.810
206,6426.657,5096.385,6535.189,6637.597,5761.045,5075.548,6528.179,5523.188,4912.824,5216.429
207,6420.665,5060.461,6548.811,6637.931,5792.432,5084.161,6560.821,5580.667,4904.451,5231.714
208,6435.326,5043.846,6544.054,6640.444,5797.023,5061.936,6528.036,5541.500,4906.647,5200.452
209,6416.034,5049.885,6539.000,6664.458,5817.091,5072.258,6451.286,5507.146,4901.157,5233.738
210,6426.152,5048.423,6527.324,6649.944,5789.182,5087.936,6468.000,5511.333,4885.118,5192.476
211,6420.538,5067.269,6547.162,6639.111,5755.023,5096.000,6459.536,5523.250,4887.157,5186.405
212,6425.119,5048.769,6494.162,6658.528,5742.614,5093.677,6429.607,5524.125,4880.216,5200.357
213,6403.937,5054.961,6551.162,6638.819,5752.364,5076.807,6418.143,5545.375,4881.039,5174.714
214,6408.746,5013.654,6500.946,6636.694,5750.091,5085.484,6434.393,5522.771,4859.706,5192.833
215,6421.894,5008.115,6510.108,6623.889,5775.386,5056.258,6405.964,5524.583,4857.804,5207.071
216,6418.352,5016.346,6491.892,6622.514,5760.250,5042.032,6382.500,5534.500,4852.765,5192.333
217,6398.081,4987.461,6513.595,6624.792,5745.295,5051.548,6349.357,5513.542,4839.451,5188.548
218,6391.623,4994.154,6533.514,6604.847,5748.705,5040.968,6337.857,5535.062,4795.235,5197.429
219,6396.860,5043.654,6519.162,6614.014,5737.977,5048.677,6333.679,5503.896,4832.804,5186.952
220,6397.331,5006.846,6510.027,6616.792,5716.682,4997.355,6342.321,5524.500,4813.569,5182.310
221,6382.784,4971.500,6520.676,6604.889,5724.023,5017.581,6282.214,5502.646,4792.039,5168.857
222,6398.669,5004.269,6490.595,6616.958,5745.659,4988.419,6264.571,5506.604,4813.490,5157.738
223,6394.271,4966.346,6511.729,6587.625,5727.886,4980.742,6268.107,5509.604,4795.549,5183.643
224,6376.263,4948.539,6481.973,6613.486,5682.795,4997.193,6220.857,5467.208,4782.882,5179.643
225,6367.877,4954.192,6479.676,6609.306,5687.568,4931.323,6208.679,5485.958,4756.529,5189.595
226,6379.051,4915.500,6478.703,6627.278,5726.364,4928.871,6194.286,5495.625,4751.667,5191.310
227,6373.945,4954.885,6490.108,6625.569,5704.273,4941.064,6143.036,5477.458,4729.451,5155.429
228,6367.204,4896.731,6473.108,6595.083,5714.000,4913.774,6161.857,5499.979,4704.294,5181.429
229,6370.881,4932.423,6472.838,6605.903,5676.614,4919.871,6112.929,5484.292,4698.157,5169.405
230,6380.233,4889.539,6488.595,6583.361,5677.136,4899.452,6118.929,5454.229,4696.529,5148.976
231,6360.174,4846.461,6479.054,6571.903,5646.409,4883.064,6082.857,5455.854,4668.941,5169.786
232,6364.131,4872.615,6470.648,6572.139,5644.705,4851.613,6056.607,5473.792,4612.902,5158.095
233,6344.335,4834.385,6473.865,6605.500,5660.227,4817.323,6023.464,5445.250,4630.079,5146.595
234,6340.792,4835.654,6484.378,6573.736,5678.091,4813.774,5994.643,5447.792,4608.176,5140.357
235,6342.055,4839.577,6465.162,6556.792,5655.750,4826.516,5975.321,5454.229,4586.549,5169.738
236,6341.525,4811.077,6447.486,6584.847,5625.682,4792.677,5940.750,5447.521,4580.039,5145.024
237,6323.881,4800.231,6475.567,6579.847,5628.636,4779.645,5858.429,5473.771,4587.353,5144.595
238,6327.894,4779.192,6472.514,6569.736,5646.795,4751.613,5849.071,5449.625,4536.706,5123.762
239,6314.585,4754.692,6446.433,6568.375,5626.977,4760.548,5829.214,5417.125,4538.255,5134.548
240,6314.424,4777.231,6432.243,6564.264,5606.432,4735.355,5793.607,5434.208,4518.000,5145.976
241,6306.013,4752.923,6443.648,6550.153,5600.864,4714.291,5774.429,5431.958,4503.471,5127.000
242,6298.763,4724.539,6431.271,6564.708,5556.068,4721.871,5786.786,5389.104,4478.137,5124.000
