 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
125,4755.024,6441.232,5296.033,4392.333,6502.644,5247.614,4142.560,5165.007,4258.575,4067.031,4502.672,5235.339,4435.087
126,4722.581,6435.087,5313.500,4492.490,6577.500,5268.471,4200.929,5193.952,4286.525,4071.792,4544.672,5240.732,4429.102
127,4747.202,6423.478,5346.533,4554.588,6600.606,5274.229,4224.500,5239.082,4323.225,4078.948,4551.017,5255.419,4440.522
128,4754.395,6433.783,5369.600,4638.608,6631.375,5304.014,4258.250,5279.493,4375.763,4082.510,4582.803,5267.036,4454.565
129,4728.347,6425.696,5389.567,4720.373,6648.442,5316.971,4301.310,5260.609,4390.712,4072.531,4607.836,5274.348,4425.739
130,4733.363,6452.957,5392.983,4793.079,6650.279,5317.743,4325.833,5224.226,4408.275,4069.500,4648.180,5286.438,4448.536
131,4727.419,6460.333,5420.533,4894.961,6685.154,5359.171,4317.417,5229.253,4449.513,4060.708,4666.017,5306.562,4438.102
132,4690.073,6458.812,5396.500,4979.000,6677.500,5378.614,4351.250,5280.726,4465.237,4078.917,4692.738,5303.464,4450.507
133,4712.323,6465.681,5390.083,5043.549,6695.836,5381.586,4361.333,5288.603,4510.288,4068.792,4728.033,5307.277,4451.753
134,4683.693,6455.928,5403.167,5091.000,6684.981,5416.829,4388.357,5298.459,4559.763,4068.479,4756.229,5315.116,4442.029
135,4649.266,6451.348,5379.383,5185.314,6676.125,5403.700,4395.286,5309.801,4553.675,4077.615,4788.000,5326.625,4450.130
136,4637.573,6467.333,5392.300,5233.451,6687.106,5425.171,4387.869,5335.055,4606.663,4081.479,4797.426,5322.402,4454.913
137,4642.331,6473.116,5387.783,5293.961,6689.086,5461.143,4403.845,5317.507,4632.075,4073.083,4825.098,5317.277,4442.261
138,4618.919,6480.362,5390.667,5348.745,6710.673,5466.457,4422.631,5284.178,4687.138,4061.854,4827.935,5323.071,4456.304
139,4623.121,6448.362,5422.217,5445.490,6713.144,5483.186,4442.357,5265.623,4704.225,4073.823,4834.328,5327.786,4458.102
140,4631.605,6475.435,5393.767,5544.745,6716.192,5502.329,4456.571,5233.767,4755.525,4081.688,4855.131,5345.304,4458.319
141,4617.548,6458.015,5413.983,5622.647,6712.817,5520.186,4479.726,5211.479,4814.350,4093.885,4867.262,5358.911,4467.942
142,4563.041,6469.826,5419.383,5678.235,6709.269,5522.800,4491.750,5189.000,4891.050,4114.792,4875.639,5357.161,4483.217
143,4603.782,6474.580,5424.767,5783.686,6722.586,5549.614,4515.845,5142.651,4934.513,4134.344,4909.312,5351.206,4482.130
144,4575.314,6464.884,5431.933,5840.392,6697.173,5541.157,4538.881,5169.123,4971.688,4138.219,4887.115,5358.652,4497.159
145,4606.839,6461.029,5434.367,5904.353,6709.596,5569.029,4545.619,5207.206,5009.575,4132.469,4910.098,5377.429,4542.753
146,4596.605,6469.188,5422.617,6032.451,6708.298,5540.014,4553.869,5200.445,5029.700,4161.240,4955.377,5377.589,4562.247
147,4575.726,6490.102,5429.450,6139.588,6695.327,5567.243,4521.607,5244.445,5034.462,4132.406,4933.377,5376.866,4570.217
148,4560.726,6461.971,5447.600,6197.529,6713.356,5560.900,4565.845,5277.753,5064.625,4162.490,4948.918,5372.518,4597.580
149,4568.347,6455.130,5457.017,6270.314,6704.048,5583.329,4583.714,5252.575,5082.112,4158.604,4999.541,5379.857,4627.710
150,4555.742,6498.232,5465.850,6347.412,6726.164,5586.786,4606.238,5263.267,5104.513,4208.865,4993.033,5394.402,4614.609
151,4560.976,6455.464,5450.883,6414.824,6698.644,5597.872,4608.321,5301.616,5138.013,4210.094,4996.606,5388.179,4640.928
152,4542.855,6483.130,5449.583,6507.137,6701.192,5606.529,4631.357,5324.459,5142.188,4229.229,5013.459,5395.054,4660.826
153,4519.193,6489.884,5460.350,6552.608,6707.269,5590.643,4652.869,5318.596,5150.525,4227.625,5022.639,5409.125,4692.319
154,4533.742,6488.247,5429.167,6599.274,6714.086,5610.300,4698.655,5282.555,5151.450,4231.115,5029.426,5385.625,4706.638
155,4559.476,6504.957,5439.250,6641.118,6739.192,5606.829,4734.131,5272.555,5179.237,4226.948,5032.672,5399.875,4735.261
156,4538.686,6493.116,5465.283,6718.569,6725.789,5600.843,4784.012,5266.486,5193.663,4233.802,5051.606,5416.482,4785.159
157,4489.847,6497.478,5454.767,6759.039,6713.558,5611.286,4795.869,5238.418,5214.263,4226.531,5034.853,5418.866,4789.942
158,4529.484,6491.217,5461.000,6805.079,6706.452,5619.671,4809.190,5234.274,5224.800,4222.177,5047.426,5403.473,4826.536
159,4520.911,6477.985,5438.700,6835.216,6720.961,5622.957,4851.952,5282.507,5217.087,4233.906,5071.967,5418.304,4832.493
160,4505.403,6483.478,5460.633,6890.471,6712.971,5637.986,4852.929,5295.034,5215.275,4209.781,5061.508,5419.366,4869.362
161,4480.436,6506.841,5457.067,6921.451,6709.471,5625.800,4846.286,5296.165,5231.025,4234.052,5070.229,5410.411,4896.652
162,4533.355,6498.449,5451.650,6957.079,6695.039,5635.186,4839.750,5284.918,5224.413,4214.573,5056.508,5415.054,4915.783
163,4497.895,6474.739,5433.350,6986.373,6708.510,5632.557,4849.774,5274.534,5234.775,4220.667,5078.377,5406.919,4937.130
164,4520.008,6473.449,5442.550,7030.765,6729.836,5645.071,4878.655,5263.226,5240.200,4246.146,5082.787,5408.143,4942.319
165,4501.573,6505.493,5439.383,7074.667,6738.250,5655.600,4892.321,5254.109,5239.237,4272.583,5089.983,5434.134,4992.261
166,4478.250,6493.159,5433.133,7122.549,6703.135,5650.829,4922.000,5238.055,5229.513,4264.010,5085.836,5437.000,5044.536
167,4498.129,6454.768,5458.467,7155.451,6715.606,5637.814,4943.357,5218.048,5233.450,4304.885,5083.787,5416.098,5048.623
168,4517.000,6478.493,5443.517,7124.157,6727.577,5637.571,4972.250,5215.199,5258.587,4300.104,5076.902,5415.866,5094.116
169,4465.016,6478.710,5436.433,7159.294,6702.529,5661.214,5002.643,5218.288,5252.938,4334.896,5083.410,5413.009,5098.406
170,4462.548,6466.725,5455.483,7175.000,6724.510,5619.071,5030.762,5223.808,5259.062,4371.552,5118.246,5440.214,5107.898
171,4467.048,6475.247,5454.667,7195.039,6724.904,5659.771,5038.167,5227.685,5248.275,4362.010,5094.524,5418.402,5138.812
172,4454.637,6455.493,5448.617,7207.706,6726.250,5651.329,5046.667,5283.206,5271.200,4369.479,5094.115,5408.786,5146.870
173,4464.508,6463.029,5453.733,7235.863,6727.942,5641.114,5067.012,5268.253,5278.087,4393.802,5099.262,5442.312,5165.333
174,4456.105,6475.985,5421.450,7230.079,6716.039,5646.329,5059.131,5275.055,5272.087,4407.490,5098.082,5434.696,5159.841
175,4417.887,6479.478,5442.500,7276.471,6714.211,5645.829,5100.988,5291.534,5271.362,4404.271,5103.918,5421.661,5191.725
176,4441.048,6496.319,5434.233,7259.647,6708.721,5642.443,5074.762,5279.822,5273.788,4405.917,5107.541,5442.419,5200.247
177,4456.048,6491.638,5435.867,7264.843,6697.250,5657.057,5099.214,5291.521,5266.562,4413.646,5097.951,5429.259,5211.072
178,4435.791,6476.551,5447.133,7285.294,6718.894,5647.214,5074.631,5285.781,5267.763,4416.146,5097.738,5454.036,5210.826
179,4421.363,6487.261,5424.250,7300.588,6711.750,5665.343,5081.988,5282.096,5303.750,4417.021,5108.902,5423.911,5252.145
180,4391.718,6483.188,5434.167,7315.765,6696.798,5647.357,5108.762,5289.911,5286.888,4421.604,5111.344,5424.456,5253.942
181,4391.387,6489.797,5438.283,7337.588,6715.750,5654.643,5112.286,5298.548,5281.400,4430.302,5091.541,5429.759,5267.304
182,4408.653,6462.232,5421.950,7340.020,6698.683,5650.186,5122.690,5295.199,5267.975,4439.385,5088.967,5425.464,5290.565
183,4432.008,6477.623,5426.400,7372.079,6720.894,5654.357,5141.869,5298.130,5285.188,4463.708,5094.836,5423.581,5284.739
184,4375.516,6452.594,5436.083,7354.235,6698.779,5659.314,5177.071,5302.993,5282.763,4465.708,5127.983,5436.169,5315.725
185,4417.331,6451.000,5451.317,7381.314,6699.519,5636.400,5172.798,5307.144,5293.737,4440.958,5122.115,5433.384,5294.304
186,4396.863,6481.377,5408.483,7361.118,6715.058,5661.600,5175.417,5305.438,5285.788,4458.302,5122.033,5431.375,5291.232
187,4398.307,6474.000,5415.283,7370.294,6728.414,5662.257,5187.690,5325.815,5293.800,4467.698,5124.574,5446.571,5289.000
188,4392.153,6460.406,5416.533,7381.255,6702.500,5656.372,5187.286,5320.575,5299.013,4472.448,5117.426,5436.857,5291.464
189,4406.064,6489.217,5413.450,7404.804,6714.846,5649.257,5213.333,5324.089,5278.400,4477.062,5107.524,5432.419,5305.536
190,4337.161,6466.247,5421.400,7408.843,6695.250,5647.557,5212.750,5319.247,5296.462,4470.729,5113.853,5442.616,5324.985
191,4369.766,6466.087,5439.500,7373.471,6687.664,5641.514,5242.143,5319.891,5280.413,4473.833,5115.164,5439.107,5292.870
192,4377.589,6468.812,5422.683,7397.490,6709.808,5655.586,5224.988,5327.109,5267.812,4475.562,5108.574,5438.294,5324.797
193,4380.024,6467.985,5415.567,7417.804,6724.289,5654.157,5254.810,5333.041,5268.513,4498.594,5121.213,5428.232,5308.580
194,4345.331,6465.290,5405.133,7406.608,6709.971,5650.814,5238.524,5340.986,5294.250,4502.521,5106.787,5427.071,5323.710
195,4384.113,6447.551,5428.083,7392.686,6706.365,5647.900,5233.810,5349.479,5290.138,4497.708,5118.639,5428.116,5313.710
