 ,Mean1,Mean2,Mean3,Mean4,Mean5
485,3799.625,3728.000,4177.375,3074.500,3405.700
486,3790.250,3722.750,4181.375,3114.500,3385.800
487,3755.125,3737.250,4133.375,3059.250,3363.000
488,3761.625,3707.438,4182.875,3059.000,3345.900
489,3775.250,3761.875,4146.625,3114.500,3359.200
490,3789.500,3782.625,4115.500,3069.000,3354.300
491,3711.000,3762.500,4100.375,3037.000,3330.700
492,3785.625,3821.688,4102.125,3097.250,3359.300
493,3740.375,3793.562,4144.625,3017.500,3371.200
494,3746.250,3756.688,4088.000,3051.500,3372.700
495,3749.500,3805.875,4101.000,3062.500,3362.900
496,3750.250,3790.062,4086.750,3071.250,3419.600
497,3737.625,3800.125,4133.625,3013.000,3356.500
498,3762.250,3753.500,4118.500,3093.750,3393.400
499,3763.750,3796.188,4126.250,3071.250,3376.600
500,3756.625,3772.938,4132.625,3099.750,3385.900
