 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
115,4710.231,4428.167,4536.125,5012.083,4462.692,5250.938,7225.882,3960.333,4545.189,5009.000,4622.154,5156.115,6672.429,4706.205,4921.206,4570.667
116,4730.211,4430.542,4569.531,5076.583,4536.808,5436.750,7488.206,4452.333,4588.108,5175.193,4693.615,5190.147,6690.238,5191.455,4987.471,4580.619
117,4787.000,4450.000,4557.906,5118.833,4646.769,5680.750,7626.029,4975.333,4585.297,5342.548,4708.039,5253.459,6668.857,5657.591,5023.971,4664.429
118,4857.404,4466.250,4548.531,5093.500,4738.731,5869.250,7684.971,5425.000,4622.757,5557.484,4797.154,5315.394,6680.595,6030.409,5089.882,4668.143
119,4943.135,4506.875,4554.094,5104.333,4867.192,6060.125,7702.794,5734.000,4642.648,5726.097,4894.077,5340.918,6687.548,6282.932,5099.765,4707.524
120,4990.904,4547.000,4602.406,5152.917,4944.000,6350.500,7771.500,5888.333,4649.946,5836.936,4922.423,5395.524,6661.238,6419.341,5174.559,4734.143
121,5086.519,4601.583,4588.969,5149.500,5025.692,6617.812,7776.147,5873.333,4667.352,5936.968,4976.385,5410.902,6707.048,6508.864,5199.176,4793.571
122,5190.558,4676.875,4578.219,5217.083,5204.654,6971.438,7802.794,6006.667,4709.027,6073.936,5103.077,5452.065,6663.571,6591.659,5237.059,4804.333
123,5309.539,4789.292,4599.969,5254.500,5333.115,7315.938,7840.971,5975.667,4741.352,6149.323,5155.115,5498.639,6703.405,6643.773,5264.853,4849.905
124,5467.500,4898.042,4634.281,5313.917,5460.385,7679.250,7837.147,6024.000,4821.189,6257.516,5192.885,5529.803,6595.881,6677.045,5308.029,4929.048
125,5633.269,4964.208,4632.438,5377.667,5605.731,8042.938,7862.794,5983.667,4883.297,6326.839,5288.077,5538.935,6564.357,6730.455,5348.853,4993.333
126,5846.327,5068.542,4705.500,5368.667,5728.885,8318.750,7880.353,6197.000,4933.271,6385.355,5348.577,5574.869,6606.952,6727.318,5381.529,5061.381
127,6070.692,5141.000,4784.312,5475.333,5902.885,8534.625,7863.147,5973.000,5129.946,6392.581,5433.692,5631.869,6640.952,6721.432,5414.206,5107.952
128,6290.115,5256.333,4820.688,5473.417,6031.346,8733.625,7903.765,5992.333,5270.271,6443.839,5489.769,5655.902,6645.452,6734.977,5438.853,5216.190
129,6486.519,5287.750,4881.344,5473.750,6187.115,8859.188,7814.941,6020.333,5409.297,6491.807,5585.423,5695.738,6617.190,6736.273,5498.324,5234.619
130,6743.923,5366.292,4970.062,5552.750,6314.769,9029.812,7886.500,6061.333,5501.703,6472.387,5611.961,5698.213,6590.643,6761.841,5496.029,5298.190
131,6955.423,5395.708,5035.906,5588.833,6450.885,8961.062,7884.147,6028.000,5614.433,6520.355,5659.577,5716.787,6622.619,6727.909,5583.618,5365.048
132,7193.250,5440.208,5171.531,5581.167,6573.346,9019.625,7884.088,6132.000,5780.162,6532.355,5719.500,5738.049,6603.595,6733.432,5597.353,5416.095
133,7409.173,5533.833,5291.688,5654.583,6680.192,9096.062,7921.235,6061.333,5890.405,6548.903,5813.000,5755.000,6593.738,6736.614,5643.941,5432.857
134,7648.558,5563.667,5393.875,5660.500,6786.961,9108.438,7916.971,6061.333,5995.297,6560.387,5861.385,5826.590,6560.381,6759.864,5699.353,5498.286
135,7879.577,5588.458,5513.469,5661.417,6837.039,9145.125,7859.912,6146.333,6126.189,6584.452,5949.269,5841.246,6563.786,6803.932,5742.618,5554.048
136,8105.346,5704.083,5617.125,5758.417,6979.346,9185.812,7887.647,6101.000,6238.838,6611.839,6009.308,5845.164,6606.738,6726.636,5791.176,5569.810
137,8310.250,5681.833,5706.312,5775.833,7024.346,9189.062,7936.265,5971.333,6392.838,6642.903,6089.231,5865.836,6551.095,6772.727,5817.912,5601.810
138,8459.442,5702.083,5821.094,5797.583,7086.385,9155.438,7897.265,6078.333,6464.243,6636.258,6156.577,5887.574,6556.214,6753.136,5859.235,5595.143
139,8680.673,5740.000,5871.031,5789.250,7119.654,9155.125,7897.029,6043.333,6585.081,6604.387,6171.192,5864.524,6529.905,6776.886,5911.294,5595.286
140,8806.692,5768.083,5941.938,5842.083,7196.461,9221.688,7908.059,6110.000,6753.189,6660.774,6184.808,5900.869,6502.476,6774.432,5946.706,5599.190
141,8970.654,5751.458,6037.531,5849.500,7237.731,9213.875,7907.000,6103.667,6923.352,6628.903,6228.192,5913.623,6436.810,6787.250,5984.882,5632.190
142,9103.750,5801.125,6075.500,5858.167,7283.461,9217.125,7891.118,6152.667,6977.459,6665.064,6326.692,5918.885,6423.357,6818.432,6004.294,5653.143
143,9232.308,5780.250,6128.875,5811.750,7332.423,9222.438,7904.765,6015.000,7066.433,6640.097,6329.423,5925.688,6422.524,6748.545,6042.794,5670.333
144,9323.654,5798.083,6154.125,5830.000,7324.654,9272.312,7900.853,6058.000,7137.784,6657.516,6441.769,5913.705,6460.310,6772.159,6058.412,5690.619
145,9397.730,5795.208,6204.875,5859.917,7361.731,9238.875,7908.853,6127.333,7193.595,6660.193,6477.692,5943.918,6419.238,6786.114,6091.735,5662.714
146,9462.692,5846.792,6240.156,5847.083,7407.346,9242.938,7904.676,6150.000,7228.108,6678.709,6504.615,5933.721,6409.048,6782.386,6114.706,5662.190
