 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
186,6170.457,7022.093,5282.700,7411.175,5849.820,6703.727,12650.583,11773.541,7668.625,6925.250,7049.733
187,6183.128,6995.400,5261.533,7436.400,5856.492,6658.818,12537.083,11748.973,7610.125,6929.406,7026.693
188,6216.771,6996.667,5284.450,7415.175,5863.197,6692.182,12636.500,11754.162,7644.938,6924.562,7029.267
189,6189.957,6992.374,5263.550,7407.125,5841.672,6651.273,12557.833,11802.567,7608.062,6908.312,7041.560
190,6169.043,6980.586,5269.733,7432.263,5849.246,6614.455,12589.167,11770.135,7659.125,6943.469,7003.307
191,6185.857,6971.187,5244.883,7442.688,5880.180,6666.091,12439.167,11791.054,7624.062,6830.969,6986.414
192,6189.128,6987.067,5256.367,7416.062,5874.426,6596.909,12477.833,11783.433,7609.625,6837.719,6996.173
193,6191.229,6968.586,5232.600,7459.750,5853.738,6639.182,12549.583,11740.054,7610.250,6884.000,6976.827
194,6177.314,6960.827,5244.267,7455.975,5862.967,6620.364,12430.667,11758.108,7643.250,6842.250,6954.280
195,6194.386,6985.000,5258.483,7490.987,5819.394,6628.545,12585.083,11759.919,7631.188,6843.188,6952.333
196,6175.743,6969.467,5251.583,7483.025,5844.033,6601.636,12418.250,11715.243,7628.938,6825.875,6948.387
197,6178.514,6976.213,5233.733,7526.925,5834.688,6584.273,12488.083,11730.352,7628.562,6822.406,6963.240
198,6171.957,6956.040,5233.333,7554.100,5813.869,6649.091,12462.917,11724.676,7604.562,6737.594,6960.560
199,6187.043,6957.573,5231.400,7589.775,5844.262,6588.364,12433.250,11681.027,7611.312,6853.062,6939.440
200,6195.314,6992.640,5221.217,7553.275,5832.754,6584.091,12346.417,11689.648,7566.000,6824.531,6898.146
201,6167.686,6966.427,5230.383,7604.375,5812.606,6647.000,12439.667,11680.729,7590.000,6796.656,6876.320
202,6169.014,6955.467,5213.383,7617.837,5815.476,6643.818,12507.750,11690.784,7601.875,6789.750,6885.667
203,6175.486,6967.573,5211.833,7633.725,5841.017,6600.000,12427.917,11688.189,7548.812,6795.250,6886.106
204,6143.957,6992.293,5232.367,7640.275,5829.508,6640.727,12459.417,11686.676,7604.938,6780.250,6861.227
205,6170.986,6994.613,5229.350,7658.663,5836.574,6673.727,12441.250,11679.973,7525.500,6800.750,6862.547
206,6195.057,6969.040,5218.417,7642.325,5819.377,6604.636,12463.417,11653.216,7545.562,6804.219,6826.867
207,6161.171,6960.293,5224.200,7658.975,5825.721,6687.455,12516.167,11646.189,7582.375,6741.500,6821.146
208,6173.157,6977.507,5205.217,7667.638,5809.558,6573.909,12537.750,11632.352,7536.625,6769.062,6836.854
209,6152.571,6962.760,5212.517,7695.275,5826.197,6584.545,12507.750,11599.784,7562.312,6796.156,6810.160
210,6164.372,6983.586,5200.983,7708.788,5837.295,6604.636,12465.833,11600.352,7627.562,6728.500,6769.040
211,6131.029,6966.160,5180.683,7715.812,5821.639,6650.818,12482.750,11598.433,7574.750,6726.188,6795.894
212,6148.486,6955.586,5170.200,7680.625,5817.541,6580.364,12461.833,11635.135,7602.312,6760.219,6783.813
213,6144.128,6984.547,5195.033,7699.513,5832.262,6635.545,12395.583,11655.297,7550.062,6677.375,6759.667
214,6123.186,6980.427,5184.167,7682.013,5828.459,6655.091,12406.833,11604.514,7602.188,6724.094,6768.013
215,6133.643,6994.907,5195.283,7701.625,5826.131,6650.455,12539.667,11568.135,7588.438,6707.594,6719.427
216,6107.429,6993.653,5203.917,7712.112,5819.541,6713.909,12569.167,11556.514,7601.812,6727.500,6749.493
217,6104.229,6989.907,5182.533,7719.300,5838.295,6676.000,12555.333,11517.054,7580.188,6726.500,6736.360
218,6106.943,6975.013,5177.983,7742.600,5858.902,6730.455,12655.917,11498.216,7615.562,6734.562,6729.414
219,6079.386,6980.307,5179.633,7767.525,5829.377,6697.273,12602.083,11516.892,7581.625,6734.594,6715.987
220,6123.571,6991.293,5167.867,7801.500,5821.017,6726.000,12490.667,11491.135,7624.188,6716.188,6701.907
221,6090.529,6980.000,5190.300,7795.487,5816.476,6736.545,12568.667,11512.324,7624.438,6729.219,6700.813
222,6088.771,6961.427,5150.517,7779.000,5803.688,6782.909,12600.083,11426.729,7596.125,6692.281,6680.053
223,6086.128,6992.120,5152.133,7769.888,5828.295,6762.364,12525.000,11468.973,7596.750,6714.375,6705.787
224,6061.200,6952.907,5168.417,7777.825,5844.918,6714.455,12562.250,11476.946,7598.750,6750.000,6684.374
225,6061.886,6962.840,5166.650,7764.038,5807.541,6735.909,12611.667,11432.919,7625.812,6656.844,6672.467
226,6080.729,6988.733,5160.383,7767.100,5841.115,6747.364,12611.750,11485.946,7644.812,6656.906,6663.773
227,6107.514,6995.480,5148.950,7759.888,5819.377,6777.545,12493.417,11459.216,7604.375,6638.219,6654.133
228,6072.557,7003.106,5131.550,7770.163,5827.918,6769.818,12624.250,11433.729,7607.000,6665.344,6669.933
229,6072.857,6971.707,5116.883,7791.388,5820.082,6781.818,12604.750,11488.271,7632.250,6579.906,6654.040
230,6063.500,6978.720,5133.983,7785.475,5798.410,6758.455,12543.000,11433.541,7625.375,6629.656,6621.453
231,6043.186,6946.840,5112.983,7792.700,5805.033,6744.364,12440.667,11420.784,7609.312,6613.156,6620.973
232,6067.557,6972.453,5120.367,7823.013,5811.312,6754.091,12501.583,11467.352,7542.562,6582.781,6612.013
233,6056.386,6981.973,5123.517,7820.712,5791.279,6636.727,12445.083,11407.486,7557.500,6577.469,6582.440
234,6061.786,6970.787,5093.267,7810.400,5802.098,6632.182,12590.333,11420.892,7542.812,6562.531,6588.987
235,6080.814,6971.253,5112.467,7816.013,5796.377,6653.273,12510.333,11443.486,7521.312,6505.125,6559.920
236,6054.429,6970.733,5102.067,7793.250,5812.902,6696.909,12448.417,11414.784,7573.938,6512.312,6552.093
237,6055.243,6967.787,5080.267,7813.825,5791.885,6720.636,12418.750,11419.946,7507.125,6505.406,6546.586
238,6057.200,6960.720,5077.733,7813.075,5762.197,6645.636,12391.500,11439.865,7531.688,6467.031,6544.533
239,6065.329,6965.173,5072.683,7820.263,5778.754,6665.545,12475.583,11392.676,7496.125,6486.906,6524.586
